22-01-2017,200,Iphone
24-01-2017,345,PC
30-01-2017,100,Deliveroo
31-01-2017,200,Uber
01-02-2017,-50,Starbucks
02-02-2017,500,Freelance Payment
03-02-2017,-30,Netflix
04-02-2017,-150,Amazon
05-02-2017,400,Freelance Payment
06-02-2017,-80,Spotify
07-02-2017,250,Ebay
08-02-2017,-60,Burger King
09-02-2017,500,Consulting Fee
10-02-2017,-40,HBO Max
15-03-2017,-100,McDonald's
18-03-2017,300,Online Course
20-03-2017,150,Uber
25-03-2017,-80,Steam
02-04-2017,600,Freelance Payment
04-04-2017,-200,Magazine Subscription
07-04-2017,-150,Amazon
15-04-2017,-90,Food Delivery
30-04-2017,350,Ebay Sale
01-05-2017,-120,Spotify
03-05-2017,450,Freelance Payment
12-05-2017,-70,Netflix
18-05-2017,200,E-commerce Refund
25-05-2017,-90,Delivery App
02-06-2017,300,Consulting Fee
04-06-2017,-60,Amazon
11-06-2017,150,Course
20-06-2017,-50,Subscription
28-06-2017,-70,HBO Max
03-07-2017,500,Freelance Payment
06-07-2017,-100,Restaurant
09-07-2017,-60,Taxi
17-07-2017,200,Extra Income
25-07-2017,-80,Gaming
02-08-2017,250,Consulting Fee
07-08-2017,-90,Amazon
12-08-2017,-50,Cinema
21-08-2017,100,Refund
29-08-2017,-40,Delivery App
01-09-2017,400,Freelance Payment
10-09-2017,-100,Food
18-09-2017,-60,Streaming
22-09-2017,150,Ebay
30-09-2017,-70,Uber
03-10-2017,-80,Spotify
07-10-2017,300,Extra Work
14-10-2017,-120,Delivery App
21-10-2017,100,E-commerce
30-10-2017,-60,Netflix
02-11-2017,500,Consulting Fee
06-11-2017,-90,Amazon
14-11-2017,250,Online Sales
21-11-2017,-70,Steam
27-11-2017,-50,HBO Max
01-12-2017,600,End of Year Bonus
05-12-2017,-100,Holiday Shopping
15-12-2017,-80,Restaurant
20-12-2017,200,Refund
28-12-2017,-660,Delivery App
